#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   8900      3.90e-01    3.95e-01      1.53e-03    1.31e-03      1.59e-02    1.61e-02    6.0e-04
   9000      4.53e-01    4.23e-01      1.52e-04    9.73e-05      1.85e-02    1.73e-02    6.0e-04
   9100      4.33e-01    4.03e-01      6.61e-03    6.40e-03      1.76e-02    1.64e-02    6.0e-04
   9200      3.91e-01    4.33e-01      9.44e-03    1.01e-02      1.58e-02    1.76e-02    6.0e-04
   9300      4.53e-01    4.26e-01      1.20e-02    1.23e-02      1.83e-02    1.72e-02    6.0e-04
   9400      5.01e-01    4.19e-01      1.05e-02    1.05e-02      2.03e-02    1.70e-02    6.0e-04
   9500      4.56e-01    4.62e-01      1.68e-02    1.63e-02      1.83e-02    1.86e-02    6.0e-04
   9600      4.16e-01    7.92e-01      1.10e-02    1.01e-02      1.68e-02    3.23e-02    6.0e-04
   9700      4.33e-01    5.21e-01      2.67e-02    2.63e-02      1.68e-02    2.06e-02    6.0e-04
   9800      5.09e-01    5.60e-01      1.41e-02    1.38e-02      2.06e-02    2.27e-02    6.0e-04
   9900      4.09e-01    4.67e-01      4.80e-03    5.19e-03      1.67e-02    1.91e-02    6.0e-04
  10000      2.90e-01    2.88e-01      4.38e-03    4.43e-03      1.53e-02    1.51e-02    3.6e-04
  10100      3.32e-01    3.19e-01      4.43e-03    5.00e-03      1.75e-02    1.67e-02    3.6e-04
  10200      3.05e-01    2.84e-01      1.88e-03    2.07e-03      1.61e-02    1.50e-02    3.6e-04
  10300      3.14e-01    3.22e-01      4.53e-04    3.22e-04      1.66e-02    1.70e-02    3.6e-04
  10400      2.95e-01    4.64e-01      4.77e-03    3.90e-03      1.55e-02    2.45e-02    3.6e-04
  10500      3.16e-01    4.85e-01      3.38e-03    2.26e-03      1.66e-02    2.56e-02    3.6e-04
  10600      3.22e-01    3.54e-01      6.87e-03    6.44e-03      1.68e-02    1.86e-02    3.6e-04
  10700      3.13e-01    3.00e-01      1.24e-03    1.21e-03      1.65e-02    1.58e-02    3.6e-04
  10800      3.40e-01    3.39e-01      6.01e-03    5.60e-03      1.78e-02    1.78e-02    3.6e-04
  10900      3.35e-01    3.21e-01      6.78e-03    6.91e-03      1.75e-02    1.68e-02    3.6e-04
  11000      3.14e-01    3.18e-01      8.05e-04    8.00e-04      1.66e-02    1.68e-02    3.6e-04
  11100      3.31e-01    3.02e-01      1.50e-04    2.82e-04      1.75e-02    1.59e-02    3.6e-04
  11200      3.40e-01    3.11e-01      4.33e-03    3.85e-03      1.79e-02    1.64e-02    3.6e-04
  11300      3.14e-01    3.43e-01      2.24e-03    2.63e-03      1.66e-02    1.81e-02    3.6e-04
  11400      3.16e-01    3.67e-01      3.03e-03    3.45e-03      1.67e-02    1.93e-02    3.6e-04
  11500      3.30e-01    3.28e-01      2.44e-03    2.78e-03      1.74e-02    1.73e-02    3.6e-04
  11600      3.41e-01    6.76e-01      7.73e-03    6.67e-03      1.78e-02    3.56e-02    3.6e-04
  11700      3.05e-01    3.80e-01      5.13e-04    2.78e-04      1.61e-02    2.01e-02    3.6e-04
  11800      2.95e-01    4.14e-01      5.37e-04    1.15e-04      1.56e-02    2.18e-02    3.6e-04
  11900      3.29e-01    5.23e-01      1.34e-03    6.63e-04      1.74e-02    2.76e-02    3.6e-04
  12000      3.15e-01    3.47e-01      2.28e-03    2.18e-03      1.66e-02    1.83e-02    3.6e-04
  12100      3.69e-01    3.93e-01      1.53e-02    1.53e-02      1.88e-02    2.01e-02    3.6e-04
  12200      3.05e-01    3.51e-01      1.66e-03    1.62e-03      1.61e-02    1.85e-02    3.6e-04
  12300      3.03e-01    3.07e-01      3.35e-03    3.19e-03      1.60e-02    1.62e-02    3.6e-04
  12400      3.25e-01    5.72e-01      2.05e-03    1.79e-03      1.72e-02    3.02e-02    3.6e-04
  12500      3.15e-01    3.44e-01      3.93e-03    3.52e-03      1.65e-02    1.81e-02    3.6e-04
  12600      3.63e-01    3.63e-01      7.35e-03    6.87e-03      1.90e-02    1.90e-02    3.6e-04
  12700      3.08e-01    5.70e-01      2.92e-04    4.48e-04      1.62e-02    3.01e-02    3.6e-04
  12800      3.06e-01    3.40e-01      4.52e-03    5.06e-03      1.61e-02    1.78e-02    3.6e-04
  12900      3.05e-01    2.51e-01      3.02e-03    2.77e-03      1.61e-02    1.32e-02    3.6e-04
  13000      3.17e-01    2.88e-01      6.33e-04    7.43e-04      1.67e-02    1.52e-02    3.6e-04
  13100      3.85e-01    3.43e-01      1.10e-02    1.09e-02      2.00e-02    1.77e-02    3.6e-04
  13200      3.43e-01    2.97e-01      2.19e-03    2.81e-03      1.81e-02    1.56e-02    3.6e-04
  13300      3.61e-01    4.75e-01      7.86e-03    7.15e-03      1.88e-02    2.49e-02    3.6e-04
  13400      3.05e-01    3.07e-01      6.71e-03    6.71e-03      1.59e-02    1.60e-02    3.6e-04
  13500      3.08e-01    2.64e-01      5.86e-03    5.81e-03      1.61e-02    1.38e-02    3.6e-04
  13600      3.37e-01    3.04e-01      2.55e-03    2.87e-03      1.78e-02    1.60e-02    3.6e-04
  13700      2.92e-01    3.19e-01      1.12e-03    1.56e-03      1.54e-02    1.68e-02    3.6e-04
  13800      3.08e-01    3.72e-01      1.56e-03    1.19e-03      1.63e-02    1.96e-02    3.6e-04
  13900      3.11e-01    3.08e-01      4.39e-03    4.57e-03      1.63e-02    1.62e-02    3.6e-04
  14000      3.13e-01    3.04e-01      2.87e-03    2.81e-03      1.65e-02    1.60e-02    3.6e-04
  14100      3.46e-01    3.35e-01      8.70e-03    8.52e-03      1.80e-02    1.74e-02    3.6e-04
  14200      3.65e-01    3.32e-01      6.12e-04    8.05e-05      1.93e-02    1.75e-02    3.6e-04
  14300      2.93e-01    6.09e-01      2.22e-03    2.22e-03      1.54e-02    3.21e-02    3.6e-04
  14400      3.17e-01    2.91e-01      2.41e-04    1.70e-04      1.67e-02    1.54e-02    3.6e-04
  14500      3.38e-01    3.59e-01      5.55e-04    1.51e-03      1.78e-02    1.90e-02    3.6e-04
  14600      3.43e-01    3.57e-01      4.55e-03    4.15e-03      1.80e-02    1.88e-02    3.6e-04
  14700      3.22e-01    3.07e-01      1.95e-03    1.76e-03      1.70e-02    1.62e-02    3.6e-04
  14800      3.33e-01    3.08e-01      2.86e-03    2.58e-03      1.75e-02    1.62e-02    3.6e-04
  14900      3.34e-01    2.56e-01      3.22e-03    2.85e-03      1.76e-02    1.35e-02    3.6e-04
  15000      2.64e-01    2.40e-01      1.31e-03    1.46e-03      1.80e-02    1.63e-02    2.1e-04
  15100      2.47e-01    2.01e-01      3.05e-04    1.63e-04      1.68e-02    1.37e-02    2.1e-04
  15200      2.48e-01    3.20e-01      2.67e-04    3.44e-05      1.69e-02    2.18e-02    2.1e-04
  15300      2.30e-01    2.78e-01      3.78e-03    3.37e-03      1.56e-02    1.88e-02    2.1e-04
  15400      2.36e-01    2.22e-01      1.16e-04    2.20e-04      1.61e-02    1.51e-02    2.1e-04
  15500      2.47e-01    2.46e-01      2.80e-04    5.41e-04      1.68e-02    1.68e-02    2.1e-04
